Id	sexo	ind	vista	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
f19	f	f19	l	-0.019707873658013148	0.001413322194732381	-0.007229679828354597	-0.01087883092423619	-0.017614752849895738	0.008677511365138422	-0.0011276655822023275	0.0094168195808466	-1.9467281413691008E-4	0.008094364516603555	-5.665197344153188E-4	0.001584397358912889	0.005932290133048213	4.0358091921055344E-4	0.001270556183689181	0.010354278826412431	-0.003738270651679479	0.0012015228191458156	8.238639646014062E-4	4.2754762587594576E-4	4.8197988140149037E-4	-9.6959243414473E-4	8.504691245772325E-4	5.562191275089467E-4	7.473368144005561E-4	-1.9506146030963964E-4	2.1367052472878858E-4	-1.908291705510062E-5	-1.2192893433188899E-4	-6.342073759135576E-5
f2	f	f2	l	-0.012688985794333507	-0.043383289716545696	-0.02046712173778927	0.01837564688130662	0.008726729403229732	0.019213567077202936	-0.00828177322313921	-0.0018281507829770631	0.005255563412962552	0.0012851409007564923	0.0056729930308847465	-0.004112946272595961	-0.0022007828300408833	0.0011924193939842817	-0.0017125521693343308	0.0037204513243082092	7.497382996878939E-4	-8.495300161508688E-4	6.362532224786563E-5	-6.411122566455914E-4	-8.319081521756475E-4	-3.636217498135488E-4	-5.512870259556601E-4	3.0096073142752235E-4	-8.643188694590133E-5	-1.7106908947191982E-4	-3.6610762782373805E-4	-7.873719265254999E-5	5.199568824315361E-5	-1.3292388339315362E-4
f20	f	f20	l	-0.030750906183146094	0.009766743890503402	0.0045864063396585985	0.00865219321912299	-0.007965025825891044	0.004603940086073762	0.002931281428643576	-0.010447417068650532	-5.463644282892011E-4	-0.010910142081270308	0.004786184880014422	-0.0016456221328804478	-0.00602636007661258	0.004315170435350549	-9.581456186922711E-4	0.003644605767565106	0.002646805093478824	0.002117793879578836	7.660918707980396E-5	0.004073243864870386	-5.470547643336536E-5	-7.674923928211537E-4	-0.0017912763558604729	5.890439513541838E-4	-0.0010158625944878446	-1.623051744593432E-4	-2.134913131235114E-4	1.9303661454001263E-4	-1.744538628801792E-4	1.2690681562489394E-4
f21	f	f21	l	-0.03949648012166773	0.015851205952858716	0.011961077549887539	0.005038202982370534	-0.004026976714775516	0.009082179107473666	-0.004435198810641257	-0.005556714939313628	0.003519288659501241	-0.004696064709654531	-0.0015862493065935855	0.006351048733878121	0.002328156543365779	7.413249835896503E-4	-7.298772000257305E-4	-6.250328519498343E-4	-0.0035441495144049057	1.4463896479142098E-4	-0.006213874881378359	0.005475699264270703	-0.0010795302246556697	-3.470550893657601E-4	5.720486305360801E-5	2.5456257757841013E-4	3.237300429315452E-5	-2.406939833027619E-4	-8.015833087000708E-5	-1.358728022403262E-4	-8.471436569627983E-6	5.0451067777850086E-5
f22	f	f22	l	0.002350333504013637	6.789919802433347E-4	0.02019384173620956	-0.0024925269870984183	-0.022012759049411502	-0.008370406624338009	-0.01695448867614112	0.0052852177355359195	-0.0016279001438549066	0.0014031218278726647	0.006060859298572522	0.0017343201674454526	0.005968383481764467	0.007406563233389782	8.914712299526884E-5	0.0017595571466683044	-0.003926471812015083	-0.0015925025389815894	-2.9121883242761923E-4	0.003594216927452419	-2.931248778718699E-4	7.080867809318209E-4	-7.725920196704084E-4	-1.7336351334126799E-4	1.063636780088118E-4	-2.3545305731090607E-4	-3.6005218203345995E-5	1.5097125719541337E-4	-1.372484497485276E-4	5.671351094643303E-5
f23	f	f23	l	-0.01926461544315637	-0.012033772392238956	5.2149567158856505E-5	0.01586966395716493	-0.013078895937438134	-8.840399853977563E-4	-0.004690778261844451	0.013056342955295463	0.0013684739572304306	-2.610384323271832E-4	0.016112033418740918	-0.0035523081132994433	0.0012728750303908937	-0.0014720599757070548	0.0020154368200740584	7.149397901208069E-5	-0.002195215558908124	-0.002338380021462322	-2.8974454643810796E-4	-0.002260251488749948	-0.0024580388918932915	-0.0011154248834946009	1.849421766299402E-4	5.774965364663326E-4	-7.616813858570862E-4	4.3378030894428024E-4	-3.817257294621006E-5	-1.2203756262496191E-5	2.910818695275499E-4	3.177005691979464E-6
f24	f	f24	l	-0.019943707451340133	0.005787301549298697	0.014660984401510611	-0.008729280291897316	-0.005200682828206482	-0.008761550863963522	-0.008742398374113808	9.277514679163388E-4	0.014331114131569029	-0.014105021789541839	-0.004361155576050416	0.0030081314475834627	-0.004133018793182111	-0.0050366730164128366	0.0022812658434163482	0.006956353717745539	4.8757048265945504E-4	-0.0019582451737524533	7.544299682363422E-5	-0.0018899207847478331	5.321324775332825E-4	0.0025790751140231994	5.612071549203075E-4	-1.4817950258695487E-4	8.869486915448028E-4	-5.2965724461270276E-5	3.429924410290822E-5	2.624643001756058E-4	2.3051571933677614E-4	-7.275994286231138E-5
f25	f	f25	l	-0.05268136798243091	-0.013481158485268043	-0.015635393837427295	-0.013828882894450924	0.021506256828810747	-0.007858539645969246	-0.004942912655581791	1.7218114762845957E-4	0.00494747420414775	-0.006494716313326128	0.016072635615766155	-0.005874936746645516	0.0112277279477384	-4.003324118763338E-4	-0.002425814851323861	0.0023143978629982984	0.0037918410019485184	0.0014506728002806491	-5.415228681923457E-4	-8.62438419119049E-4	-0.0019099505226542095	0.0013137471515019033	6.858116158100884E-5	-8.767732861479701E-4	-2.1995510512587998E-4	-3.496980056731313E-4	-2.543239002521286E-4	3.2438717857317294E-5	-1.1790923994061189E-4	-1.2171552602850611E-4
f26	f	f26	l	-0.017558177163407178	-0.010752562955417832	0.021245791844421574	0.024257175018712402	0.005577126309432988	1.1564378999878722E-4	-0.0074695067962476155	-0.0018910126852528743	-8.162508938807083E-4	0.0019442428693364584	9.399931911103425E-4	-0.0023025046696166966	-1.1823809840948103E-4	-0.0015674272801027632	-0.003609819224314903	-0.005497027123451088	-0.0030620298598250367	-7.351141277958753E-4	-0.0016476000078947393	-0.0028343154397075434	0.0022188991141089956	0.0012947409170489897	4.8010721300518913E-4	3.645561976801876E-4	-7.254974799772037E-4	-0.0024255020333179282	0.001606548425417094	7.370829374594699E-5	7.339521580726058E-5	-2.668301698240302E-5
f27	f	f27	l	-0.012275042484161664	0.017551141903115033	0.00902949176414942	0.003103865367673231	-0.0015374846532506938	-0.001182276626097726	0.002165456779920369	-0.0018261081844199545	-0.01009513882718819	0.007312282389771747	0.009443547866107092	0.0069624208462615925	-0.008126303199575757	-3.417876993487079E-5	-0.0024245683633543538	-0.0024919784435413145	0.004623462009127887	0.004836198972313193	0.004118823279813945	0.0033385463410262055	-0.0011067158156152258	0.0020104004758316704	0.0010191030700378192	1.1786402427015535E-4	-4.360448964475317E-6	2.8403563907770897E-4	4.107794855315222E-4	-1.1995343478532716E-4	1.5558629775251132E-4	2.8130875832532785E-4
